age,credit_capacity,monthly_income,debt_ratio,num_open_accounts,loan_duration,installment_rate,late_payment_score,recent_payment_amount,credit_utilization,target
24,20000.0,4000.0,0.1956499999902175,3,6,0.0,-0.3333333333333333,0.0,0.1956499999902175,1
26,120000.0,24000.0,0.02234999999981375,6,6,0.0,0.5,0.0,0.02234999999981375,1
34,90000.0,18000.0,0.32487777777416804,6,6,0.01686666666647926,0.0,1518.0,0.32487777777416804,0
37,50000.0,10000.0,0.939799999981204,6,6,0.0399999999992,0.0,2000.0,0.939799999981204,0
57,50000.0,10000.0,0.1723399999965532,6,6,0.0399999999992,-0.3333333333333333,2000.0,0.1723399999965532,0
37,50000.0,10000.0,1.28799999997424,6,6,0.049999999999,0.0,2500.0,1.28799999997424,0
29,500000.0,100000.0,0.7359299999985282,6,6,0.10999999999978,0.0,55000.0,0.7359299999985282,0
23,100000.0,20000.0,0.11875999999881241,5,6,0.0037999999999620004,-0.5,380.0,0.11875999999881241,0
28,140000.0,28000.0,0.08060714285656709,6,6,0.02377857142840158,0.3333333333333333,3329.0,0.08060714285656709,0
35,20000.0,4000.0,0.0,2,6,0.0,-1.6666666666666667,0.0,0.0,0
34,200000.0,40000.0,0.05536499999972317,6,6,0.01152999999994235,0.16666666666666666,2306.0,0.05536499999972317,0
51,260000.0,52000.0,0.04715769230751093,6,6,0.08391538461506186,-0.5,21818.0,0.04715769230751093,0
41,630000.0,126000.0,0.019265079365048784,6,6,0.0015873015872990678,-0.8333333333333334,1000.0,0.019265079365048784,0
30,70000.0,14000.0,0.9400285714151425,6,6,0.04571428571363266,1.1666666666666667,3200.0,0.9400285714151425,1
29,250000.0,50000.0,0.2835479999988658,6,6,0.011999999999952,0.0,3000.0,0.2835479999988658,0
23,50000.0,10000.0,1.0122799999797545,6,6,0.0,0.5,0.0,1.0122799999797545,0
24,20000.0,4000.0,0.76879999996156,6,6,0.15999999999199999,1.3333333333333333,3200.0,0.76879999996156,1
49,320000.0,64000.0,0.7915187499975265,6,6,0.032368749999898846,-0.5,10358.0,0.7915187499975265,0
49,360000.0,72000.0,0.0,0,6,0.0,-1.5,0.0,0.0,0
29,180000.0,36000.0,0.0,0,6,0.0,-1.5,0.0,0.0,0
39,130000.0,26000.0,0.29506153845926875,6,6,0.023076923076745564,-0.16666666666666666,3000.0,0.29506153845926875,0
39,120000.0,24000.0,0.002633333333311389,5,6,0.002633333333311389,-1.0,316.0,0.002633333333311389,1
26,70000.0,14000.0,0.5869571428487578,6,6,0.02867142857101898,1.3333333333333333,2007.0,0.5869571428487578,1
40,450000.0,90000.0,0.01224888888886167,4,6,0.04317333333323739,-2.0,19428.0,0.01224888888886167,1
23,90000.0,18000.0,0.052711111110525434,5,6,0.06396666666595593,-0.16666666666666666,5757.0,0.052711111110525434,0
23,50000.0,10000.0,0.952399999980952,6,6,0.0394599999992108,0.0,1973.0,0.952399999980952,0
27,60000.0,12000.0,-0.0018166666666363889,2,6,0.0,-0.8333333333333334,0.0,-0.0018166666666363889,1
30,50000.0,10000.0,0.4508199999909836,6,6,0.025999999999479998,0.0,1300.0,0.4508199999909836,0
47,50000.0,10000.0,0.012999999999739999,6,6,0.068299999998634,-1.0,3415.0,0.012999999999739999,0
26,50000.0,10000.0,0.3065799999938684,6,6,0.0299999999994,0.0,1500.0,0.3065799999938684,0
27,230000.0,46000.0,0.0723739130431636,6,6,0.07508695652141266,-1.0,17270.0,0.0723739130431636,0
33,50000.0,10000.0,0.6103599999877928,6,6,0.0343599999993128,0.3333333333333333,1718.0,0.6103599999877928,1
32,100000.0,20000.0,0.9303599999906965,6,6,0.030229999999697704,0.0,3023.0,0.9303599999906965,0
54,500000.0,100000.0,0.021857999999956284,6,6,0.008303999999983392,-2.0,4152.0,0.021857999999956284,0
58,500000.0,100000.0,0.027417999999945163,5,6,0.010011999999979976,-2.0,5006.0,0.027417999999945163,0
30,160000.0,32000.0,0.18915624999881778,1,6,0.0008187499999948828,-1.5,131.0,0.18915624999881778,0
40,280000.0,56000.0,0.666082142854764,6,6,0.028664285714183342,0.0,8026.0,0.666082142854764,0
22,60000.0,12000.0,0.25089999999581836,5,6,0.024999999999583335,-0.16666666666666666,1500.0,0.25089999999581836,0
25,50000.0,10000.0,0.0,1,6,0.015599999999688,-1.1666666666666667,780.0,0.0,1
31,280000.0,56000.0,0.0017785714285650765,6,6,0.03241071428559853,-0.3333333333333333,9075.0,0.0017785714285650765,0
33,360000.0,72000.0,0.6074111111094238,6,6,0.027777777777700616,0.0,10000.0,0.6074111111094238,0
25,70000.0,14000.0,0.9645857142719346,6,6,0.04285714285653062,0.0,3000.0,0.9645857142719346,0
22,10000.0,2000.0,0.18769999998123,6,6,0.149999999985,0.0,1500.0,0.18769999998123,0
37,140000.0,28000.0,0.42502857142553546,6,6,0.021428571428418367,0.0,3000.0,0.42502857142553546,0
30,40000.0,8000.0,0.47317499998817064,6,6,0.074999999998125,0.3333333333333333,3000.0,0.47317499998817064,0
29,210000.0,42000.0,0.0,0,6,0.0,-2.0,0.0,0.0,1
22,20000.0,4000.0,0.70139999996493,5,6,0.1499999999925,0.16666666666666666,3000.0,0.70139999996493,1
46,150000.0,30000.0,0.029753333333134978,4,6,0.00675333333328831,-0.5,1013.0,0.029753333333134978,1
32,380000.0,76000.0,0.05894999999984487,6,6,0.056684210526166616,-1.0,21540.0,0.05894999999984487,0
24,20000.0,4000.0,0.8723499999563825,6,6,0.065899999996705,0.0,1318.0,0.8723499999563825,0
42,70000.0,14000.0,0.529171428563869,6,6,0.0,1.5,0.0,0.529171428563869,1
43,100000.0,20000.0,0.6155899999938441,6,6,0.0199999999998,0.0,2000.0,0.6155899999938441,0
49,310000.0,62000.0,0.04343548387082763,6,6,0.025403225806369667,-2.0,7875.0,0.04343548387082763,0
25,180000.0,36000.0,0.23001111110983327,6,6,0.007222222222182099,0.5,1300.0,0.23001111110983327,0
29,150000.0,30000.0,0.3081599999979456,6,6,0.010666666666595555,0.3333333333333333,1600.0,0.3081599999979456,0
45,500000.0,100000.0,0.00380999999999238,5,6,0.00727999999998544,-2.0,3640.0,0.00380999999999238,0
34,180000.0,36000.0,0.09103333333282759,5,6,0.047222222221959875,-0.5,8500.0,0.09103333333282759,0
34,180000.0,36000.0,0.9771444444390158,6,6,0.04490555555530608,0.0,8083.0,0.9771444444390158,0
34,200000.0,40000.0,0.007934999999960324,6,6,0.0,1.6666666666666667,0.0,0.007934999999960324,0
29,400000.0,80000.0,1.000334999997499,6,6,0.04249999999989375,0.0,17000.0,1.000334999997499,0
28,500000.0,100000.0,0.04569599999990861,6,6,0.003031999999993936,0.0,1516.0,0.04569599999990861,1
39,70000.0,14000.0,1.0114285714141225,6,6,0.057499999999178576,-0.16666666666666666,4025.0,1.0114285714141225,0
29,50000.0,10000.0,0.4997399999900052,6,6,0.0,2.0,0.0,0.4997399999900052,1
46,50000.0,10000.0,0.5743599999885128,2,6,0.0199999999996,-1.0,1000.0,0.5743599999885128,1
51,130000.0,26000.0,0.0007615384615326036,2,6,0.0,-1.3333333333333333,0.0,0.0007615384615326036,0
57,200000.0,40000.0,0.762594999996187,6,6,0.0,-0.5,0.0,0.762594999996187,1
56,10000.0,2000.0,0.20969999997903,6,6,0.229999999977,1.0,2300.0,0.20969999997903,1
30,210000.0,42000.0,0.0014285714285646259,6,6,0.0014285714285646259,-0.5,300.0,0.0014285714285646259,0
29,130000.0,26000.0,-0.001461538461527219,3,6,0.0,-0.5,0.0,-0.001461538461527219,0
22,20000.0,4000.0,0.9282499999535875,6,6,0.0,0.3333333333333333,0.0,0.9282499999535875,0
31,80000.0,16000.0,0.009749999999878125,5,6,0.0,-1.0,0.0,0.009749999999878125,0
29,320000.0,64000.0,0.18208437499943098,6,6,0.0078124999999755855,2.0,2500.0,0.18208437499943098,1
32,200000.0,40000.0,0.045379999999773095,5,6,0.029089999999854548,-0.5,5818.0,0.045379999999773095,0
37,290000.0,58000.0,0.0,2,6,0.0,-0.8333333333333334,0.0,0.0,0
32,340000.0,68000.0,0.008964705882326575,6,6,0.016802941176421168,-1.0,5713.0,0.008964705882326575,0
24,20000.0,4000.0,0.7309499999634524,6,6,0.142499999992875,0.3333333333333333,2850.0,0.7309499999634524,0
25,50000.0,10000.0,0.8567599999828648,6,6,0.0351799999992964,-0.16666666666666666,1759.0,0.8567599999828648,0
45,300000.0,60000.0,0.0009699999999967666,6,6,0.0009699999999967666,-1.0,291.0,0.0009699999999967666,0
22,30000.0,6000.0,0.9462333333017922,6,6,0.056199999998126665,0.0,1686.0,0.9462333333017922,1
44,240000.0,48000.0,0.0,0,6,0.0,-1.5,0.0,0.0,1
33,470000.0,94000.0,0.35160425531840084,6,6,0.013617021276566773,0.0,6400.0,0.35160425531840084,0
26,360000.0,72000.0,0.06503055555537492,6,6,0.013322222222185216,-0.16666666666666666,4796.0,0.06503055555537492,0
30,60000.0,12000.0,0.4387333333260211,6,6,0.02626666666622889,0.0,1576.0,0.4387333333260211,1
44,400000.0,80000.0,0.32898749999917754,6,6,0.026749999999933126,0.3333333333333333,10700.0,0.32898749999917754,0
49,50000.0,10000.0,0.9781799999804364,6,6,0.0335199999993296,0.0,1676.0,0.9781799999804364,0
